classify,name,comment,star,price,address,quality,environment,service
美食,微皇饭店,无,准四星商户,无,政通路189号特力时尚汇3楼,6.5,6.9,6.9
美食,Häagen·Dazs(百联又一城店),3,准四星商户,无,淞沪路8号百联又一城1层,6.9,7.2,7.1
美食,雪永,无,准四星商户,无,淞沪路77号特力时尚汇F1,6.5,6.9,6.9
美食,爱茜茜里意大利健康冰淇淋(特力时尚汇店),50,准四星商户,38,政通路189号特力时尚汇1F-31-3,6.9,7.2,7.1
美食,N2 gelato fao,无,准四星商户,无,淞沪路77号特力时尚汇F1,6.5,6.9,6.9
美食,阆苑亭苏州面馆,610,准四星商户,27,国宾路88号五角场万达广场,6.9,7.2,7.1
美食,黄山菜饭骨头汤,6,三星商户,16,政旦东路34号,6.5,6.9,6.9
美食,叫只蟹阳澄湖大闸蟹(五角场),1,三星商户,无,第一食品3楼,6.9,7.2,7.1
美食,食豆集市(合生汇店),1,三星商户,无,翔殷路1099号合生汇1层,6.5,6.9,6.9
美食,桂源铺(特力时尚汇店),8,准四星商户,无,政通路189号特力时尚汇1F-32-b1,6.9,7.2,7.1
美食,海峡养生粥坊(盖浇饭),19,准四星商户,18,邯郸路399-07号,6.5,6.9,6.9
美食,淮南牛肉粉丝汤食品一店(五角场店),4,准四星商户,无,五角场邯郸路,6.9,7.2,7.1
美食,东北特色水饺(杨浦店),2,准四星商户,无,政旦东路40号,6.5,6.9,6.9
美食,四云贡茶(五角场万达),32,准四星商户,17,邯郸路600号5角场万达商业广场特力屋2楼,6.9,7.2,7.1
美食,哈拉里咖啡生活馆(邯郸路店),15,准四星商户,10,邯郸路399号DA,6.5,6.9,6.9
美食,西域诱惑,19,三星商户,51,政通路189号,6.9,7.2,7.1
美食,一5烤全鱼,2,准四星商户,无,五角场国济路30号,6.5,6.9,6.9
美食,缘聚湘菜馆,315,准四星商户,71,国济路16号,6.9,7.2,7.1
美食,融合私房菜,2,准四星商户,无,黄兴路2055号,6.5,6.9,6.9
美食,火爆鱿鱼,5,准四星商户,无,邯郸路天堂伞旁,6.5,6.9,6.9
美食,棉花糖,1,三星商户,无,邯郸路541号,6.9,7.0,6.9
休闲娱乐,莲SPA足道养生馆(五角场店),7339,五星商户,122,淞沪路161号中环国际大厦6楼政通路口,9.3,9.2,9.1
美食,幸龙十三香小龙虾,1,准四星商户,无,四平路与国定路交叉口南50米,6.5,6.9,6.9
休闲娱乐,满月邂逅平安夜狼人杀馆,153,五星商户,83,黄兴路2005弄1号杨浦大厦16A,9.3,9.2,9.1
美食,红枫料理,1,三星商户,无,五角场地下广场,6.9,7.0,6.9
美食,LILLIANBAKERY(百联又一城店),无,准四星商户,无,淞沪路8号百联又一城B1层,6.5,6.9,6.9
休闲娱乐,两个世界桌游店 狼人杀俱乐部,35,五星商户,87,五角场800号东楼210室,9.3,9.2,9.1
美食,真品味,1,三星商户,无,淞沪路8号百联又一城购物中心B1楼,6.9,7.0,6.9
美食,茶风暴(淞沪路店),3,准四星商户,无,淞沪路8号百联又一城旁,6.5,6.9,6.9
休闲娱乐,星聚会ktv(合生汇店),1431,五星商户,105,翔殷路1099号合生汇4F,9.3,9.2,9.1
